,nom,numPmu,age,sexe,race,statut,oeilleres,proprietaire,entraineur,deferre,driver,driverChange,robe,indicateurInedit,musique,nombreCourses,nombreVictoires,nombrePlaces,gainsParticipant,nomPere,nomMere,ordreArrivee,jumentPleine,engagement,supplement,handicapDistance,handicapPoids,poidsConditionMonteChange,tempsObtenu,reductionKilometrique,allure,course_id,participant_id,incident,placeCorde,urlCasaque,ecurie,tauxReclamation,nomPereMere,poidsConditionMonte,distanceChevalPrecedent,eleveur
184,EQUERRYNA DE BOSDA,3,6,FEMELLES,PUR-SANG,PARTANT,OEILLERES_CLASSIQUE,G.HANOUNA,R.LE GAL,0,B. BEAUNEZ,False,"{'code': '020', 'libelleCourt': 'BAI', 'libelleLong': 'BAI'}",False,(14)1h3h3s2s4h7sAs3hAs,30,3,13,"{'gainsCarriere': 7711000, 'gainsVictoires': 2832000, 'gainsPlace': 4879000, 'gainsAnneeEnCours': 0, 'gainsAnneePrecedente': 4345000}",Equerry,Neanna,0,False,False,0,0,680,False,0,0,GALOP,12,184,ARRETE,0.0,https://turfinfo.pmucdn.fr/casaques/01012015/R2/C4/P3.gif,0,1400000.0,Kashnil,640.0,0,MME PASCALE NICOLLEAU
185,BREZHON DE KERBARH,4,7,HONGRES,PUR-SANG,PARTANT,SANS_OEILLERES,JL. AVENARD/R. ARS/XL. LE STANG,XL.LE STANG,0,R.LE STANG,False,"{'code': '020', 'libelleCourt': 'BAI', 'libelleLong': 'BAI'}",False,(14)ThAh4h7s6h9p(12)3h0h,15,1,7,"{'gainsCarriere': 3943500, 'gainsVictoires': 672000, 'gainsPlace': 3271500, 'gainsAnneeEnCours': 0, 'gainsAnneePrecedente': 475000}",Policy maker,Nik bey,0,False,False,0,0,680,False,0,0,GALOP,12,185,TOMBE,0.0,https://turfinfo.pmucdn.fr/casaques/01012015/R2/C4/P4.gif,0,1000000.0,Nikos,640.0,0,MR MICHEL-ANDRE LE FUR
186,PARIS DO BRASIL,5,5,HONGRES,PUR-SANG,PARTANT,OEILLERES_CLASSIQUE,VIEL (S)/M. COUSIN,VIEL (S),0,A.GASNIER,False,"{'code': '020', 'libelleCourt': 'BAI', 'libelleLong': 'BAI'}",False,(14)3sAs4h1s6s2h2sTh5h,24,3,8,"{'gainsCarriere': 3575500, 'gainsVictoires': 1584000, 'gainsPlace': 1991500, 'gainsAnneeEnCours': 0, 'gainsAnneePrecedente': 3575500}",Early march,Zizou,3,False,False,0,0,680,False,0,0,GALOP,12,186,0,0.0,https://turfinfo.pmucdn.fr/casaques/01012015/R2/C4/P5.gif,0,1200000.0,Marignan,0.0,"{'libelleCourt': '3 L', 'libelleLong': '3 longueurs', 'code': 13, 'identifiant': 'TROIS_LONGUEURS'}",MR HERVE SUDRAT
187,SIKAR,6,6,HONGRES,PUR-SANG,PARTANT,OEILLERES_CLASSIQUE,JP.GALLORINI (S),GALLORINI (S),0,C.E..FLANNELLY,False,"{'code': '001', 'libelleCourt': 'ALEZAN', 'libelleLong': 'ALEZAN'}",False,(14)As6h0h9hAhTs2hTh5h,20,0,6,"{'gainsCarriere': 3511500, 'gainsVictoires': 0, 'gainsPlace': 3511500, 'gainsAnneeEnCours': 0, 'gainsAnneePrecedente': 768000}",Kotky bleu,Kaprissima,2,False,False,0,0,670,False,0,0,GALOP,12,187,0,0.0,https://turfinfo.pmucdn.fr/casaques/01012015/R2/C4/P6.gif,0,800000.0,Epervier bleu,630.0,"{'libelleCourt': '3/4 L', 'libelleLong': '3/4 de longueur', 'code': 33, 'identifiant': 'TROIS_QUARTS_DE_LONGUEUR'}",HARAS DES COUDRAIES
188,SIR DOLOIS,7,9,HONGRES,PUR-SANG,PARTANT,SANS_OEILLERES,J.PARIZE,P.LENOGUE,0,L. PHILIPPERON,False,"{'code': '021', 'libelleCourt': 'BAI F.', 'libelleLong': 'BAI FONCE'}",False,(14)AhAh8p0p0p8p0p8p0p,2,0,0,"{'gainsCarriere': 0, 'gainsVictoires': 0, 'gainsPlace': 0, 'gainsAnneeEnCours': 0, 'gainsAnneePrecedente': 0}",Marchand de sable,Dakarna,4,False,False,0,0,670,False,0,0,GALOP,12,188,0,0.0,https://turfinfo.pmucdn.fr/casaques/01012015/R2/C4/P7.gif,0,800000.0,Top ville,0.0,"{'libelleCourt': '3 L', 'libelleLong': '3 longueurs', 'code': 13, 'identifiant': 'TROIS_LONGUEURS'}",HARAS DE BERNESQ
189,VAG AUNAY,1,6,HONGRES,PUR-SANG,PARTANT,SANS_OEILLERES,L.VIEL (S),VIEL (S),0,A.GASNIER,False,"{'code': '040', 'libelleCourt': 'GRIS', 'libelleLong': 'GRIS'}",False,(14)3hAsAs7s0s0h1sTs,18,4,5,"{'gainsCarriere': 9610000, 'gainsVictoires': 7749000, 'gainsPlace': 1861000, 'gainsAnneeEnCours': 0, 'gainsAnneePrecedente': 1920000}",Baroud d'honneur,Lady rosekadrou,2,False,False,0,0,700,False,0,0,GALOP,10,189,0,0.0,https://turfinfo.pmucdn.fr/casaques/01012015/R2/C2/P1.gif,0,0.0,Kadrou,0.0,"{'libelleCourt': '3 L', 'libelleLong': '3 longueurs', 'code': 13, 'identifiant': 'TROIS_LONGUEURS'}",MR PASCAL REAUTE
190,HIDDEN,2,9,HONGRES,PUR-SANG,PARTANT,SANS_OEILLERES,P.GREEN,COTTIN (S),0,D.MESCAM,False,"{'code': '020', 'libelleCourt': 'BAI', 'libelleLong': 'BAI'}",False,(14)7h5s4s(13)3sAs0h6s5s,24,5,10,"{'gainsCarriere': 12114900, 'gainsVictoires': 8460800, 'gainsPlace': 3654100, 'gainsAnneeEnCours': 0, 'gainsAnneePrecedente': 381000}",Hernando,For more,1,False,False,0,0,680,False,0,0,GALOP,10,190,0,0.0,https://turfinfo.pmucdn.fr/casaques/01012015/R2/C2/P2.gif,0,0.0,Sanglamore,660.0,0,MR PAUL GREEN
191,WANABA,3,6,HONGRES,PUR-SANG,PARTANT,OEILLERES_CLASSIQUE,MME P. BUTEL/MME C. BRESSOU,MME P.BUTEL,0,JL.BEAUNEZ,False,"{'code': '020', 'libelleCourt': 'BAI', 'libelleLong': 'BAI'}",False,(14)7h0p0p8p7h8s5h(13)1s,14,4,5,"{'gainsCarriere': 16314000, 'gainsVictoires': 9939000, 'gainsPlace': 6375000, 'gainsAnneeEnCours': 0, 'gainsAnneePrecedente': 360000}",Anabaa,Willamina,3,False,False,0,0,680,False,0,0,GALOP,10,191,0,0.0,https://turfinfo.pmucdn.fr/casaques/01012015/R2/C2/P3.gif,0,0.0,Sadler's wells,0.0,"{'libelleCourt': '4 L', 'libelleLong': '4 longueurs', 'code': 14, 'identifiant': 'QUATRE_LONGUEURS'}",MLLE CAMILLE COLLET
192,DIOMEDES,4,6,HONGRES,PUR-SANG,PARTANT,OEILLERES_AUSTRALIENNES,L.MOENS,C.DONDI,0,H.TABET,False,"{'code': '021', 'libelleCourt': 'BAI F.', 'libelleLong': 'BAI FONCE'}",False,(14)As3s6s2s7hAh3h3h1h,13,2,4,"{'gainsCarriere': 3236000, 'gainsVictoires': 2112000, 'gainsPlace': 1124000, 'gainsAnneeEnCours': 0, 'gainsAnneePrecedente': 2132000}",Laveron,Alfayza,5,False,False,0,0,670,False,0,0,GALOP,10,192,0,0.0,https://turfinfo.pmucdn.fr/casaques/01012015/R2/C2/P4.gif,0,0.0,Danehill,650.0,"{'libelleCourt': '1 L 1/4', 'libelleLong': '1 longueur 1/4', 'code': 56, 'identifiant': 'UNE_LONGUEUR_ET_QUART'}",MR LUC MOENS
193,DONGARRY,5,8,HONGRES,PUR-SANG,PARTANT,OEILLERES_AUSTRALIENNES,HP.PAYLLIER,JOLLIVET (S),0,A.LECORDIER,False,"{'code': '040', 'libelleCourt': 'GRIS', 'libelleLong': 'GRIS'}",False,(14)Ah1hAh3h3hAsAsAh4h,22,2,8,"{'gainsCarriere': 6986000, 'gainsVictoires': 2496000, 'gainsPlace': 4490000, 'gainsAnneeEnCours': 0, 'gainsAnneePrecedente': 3341000}",Ballingarry,Dona honoria,4,False,False,0,0,670,False,0,0,GALOP,10,193,0,0.0,https://turfinfo.pmucdn.fr/casaques/01012015/R2/C2/P5.gif,0,0.0,Highest honor,0.0,"{'libelleCourt': '1/2 L', 'libelleLong': '1/2 longueur', 'code': 3, 'identifiant': 'DEMI_LONGUEUR'}",MR HANS-PETER PAYLLIER
